=== Tenant Migration Log Started: 2026-01-17T18:32:54.887233200 ===
[18:32:54] [4] [brands] 98 -> 98 [OK]
[18:32:54] [4] [categories] 1 -> 1 [OK]
[18:32:54] [4] [categories] 10 -> 10 [OK]
[18:32:54] [4] [categories] 10_1768627859918 -> 10_1768627859918 [OK]
[18:32:54] [4] [categories] 10_1768627946984 -> 10_1768627946984 [OK]
[18:32:54] [4] [categories] 10_1768666667144 -> 10_1768666667144 [OK]
[18:32:54] [4] [categories] 11 -> 11 [OK]
[18:32:54] [4] [categories] 11_1768627859925 -> 11_1768627859925 [OK]
[18:32:54] [4] [categories] 11_1768627946988 -> 11_1768627946988 [OK]
[18:32:54] [4] [categories] 11_1768666667150 -> 11_1768666667150 [OK]
[18:32:54] [4] [categories] 12 -> 12 [OK]
[18:32:54] [4] [categories] 12_1768627859955 -> 12_1768627859955 [OK]
[18:32:54] [4] [categories] 12_1768627946995 -> 12_1768627946995 [OK]
[18:32:54] [4] [categories] 12_1768666667154 -> 12_1768666667154 [OK]
[18:32:54] [4] [categories] 13 -> 13 [OK]
[18:32:54] [4] [categories] 13_1768627859971 -> 13_1768627859971 [OK]
[18:32:54] [4] [categories] 13_1768627946998 -> 13_1768627946998 [OK]
[18:32:54] [4] [categories] 13_1768666667158 -> 13_1768666667158 [OK]
[18:32:54] [4] [categories] 14 -> 14 [OK]
[18:32:54] [4] [categories] 14_1768627859974 -> 14_1768627859974 [OK]
[18:32:54] [4] [categories] 14_1768627947000 -> 14_1768627947000 [OK]
[18:32:54] [4] [categories] 14_1768666667162 -> 14_1768666667162 [OK]
[18:32:54] [4] [categories] 15 -> 15 [OK]
[18:32:54] [4] [categories] 15_1768627859991 -> 15_1768627859991 [OK]
[18:32:54] [4] [categories] 15_1768627947004 -> 15_1768627947004 [OK]
[18:32:54] [4] [categories] 15_1768666667168 -> 15_1768666667168 [OK]
[18:32:54] [4] [categories] 16 -> 16 [OK]
[18:32:54] [4] [categories] 16_1768627860006 -> 16_1768627860006 [OK]
[18:32:54] [4] [categories] 16_1768627947008 -> 16_1768627947008 [OK]
[18:32:54] [4] [categories] 16_1768666667172 -> 16_1768666667172 [OK]
[18:32:54] [4] [categories] 17 -> 17 [OK]
[18:32:54] [4] [categories] 17_1768627860009 -> 17_1768627860009 [OK]
[18:32:54] [4] [categories] 17_1768627947011 -> 17_1768627947011 [OK]
[18:32:55] [4] [categories] 17_1768666667176 -> 17_1768666667176 [OK]
[18:32:55] [4] [categories] 18 -> 18 [OK]
[18:32:55] [4] [categories] 18_1768627860017 -> 18_1768627860017 [OK]
[18:32:55] [4] [categories] 18_1768627947015 -> 18_1768627947015 [OK]
[18:32:55] [4] [categories] 18_1768666667180 -> 18_1768666667180 [OK]
[18:32:55] [4] [categories] 19 -> 19 [OK]
[18:32:55] [4] [categories] 19_1768627860020 -> 19_1768627860020 [OK]
[18:32:55] [4] [categories] 19_1768627947018 -> 19_1768627947018 [OK]
[18:32:55] [4] [categories] 19_1768666667183 -> 19_1768666667183 [OK]
[18:32:55] [4] [categories] 1_1768627859910 -> 1_1768627859910 [OK]
[18:32:55] [4] [categories] 1_1768627946980 -> 1_1768627946980 [OK]
[18:32:55] [4] [categories] 1_1768666667140 -> 1_1768666667140 [OK]
[18:32:55] [4] [categories] 2 -> 2 [OK]
[18:32:55] [4] [categories] 20 -> 20 [OK]
[18:32:55] [4] [categories] 20_1768627860028 -> 20_1768627860028 [OK]
[18:32:55] [4] [categories] 20_1768627947026 -> 20_1768627947026 [OK]
[18:32:55] [4] [categories] 20_1768666667188 -> 20_1768666667188 [OK]
[18:32:55] [4] [categories] 21 -> 21 [OK]
[18:32:55] [4] [categories] 21_1768627860077 -> 21_1768627860077 [OK]
[18:32:55] [4] [categories] 21_1768627947035 -> 21_1768627947035 [OK]
[18:32:55] [4] [categories] 21_1768666667191 -> 21_1768666667191 [OK]
[18:32:55] [4] [categories] 22 -> 22 [OK]
[18:32:55] [4] [categories] 22_1768627860082 -> 22_1768627860082 [OK]
[18:32:55] [4] [categories] 22_1768627947050 -> 22_1768627947050 [OK]
[18:32:55] [4] [categories] 22_1768666667194 -> 22_1768666667194 [OK]
[18:32:55] [4] [categories] 23 -> 23 [OK]
[18:32:55] [4] [categories] 23_1768627860095 -> 23_1768627860095 [OK]
[18:32:55] [4] [categories] 23_1768627947054 -> 23_1768627947054 [OK]
[18:32:55] [4] [categories] 23_1768666667198 -> 23_1768666667198 [OK]
[18:32:55] [4] [categories] 24 -> 24 [OK]
[18:32:55] [4] [categories] 24_1768627860097 -> 24_1768627860097 [OK]
[18:32:55] [4] [categories] 24_1768627947059 -> 24_1768627947059 [OK]
[18:32:55] [4] [categories] 24_1768666667201 -> 24_1768666667201 [OK]
[18:32:55] [4] [categories] 25 -> 25 [OK]
[18:32:55] [4] [categories] 25_1768627860104 -> 25_1768627860104 [OK]
[18:32:55] [4] [categories] 25_1768627947063 -> 25_1768627947063 [OK]
[18:32:55] [4] [categories] 25_1768666667204 -> 25_1768666667204 [OK]
[18:32:55] [4] [categories] 26 -> 26 [OK]
[18:32:55] [4] [categories] 26_1768627860113 -> 26_1768627860113 [OK]
[18:32:55] [4] [categories] 26_1768627947066 -> 26_1768627947066 [OK]
[18:32:55] [4] [categories] 26_1768666667207 -> 26_1768666667207 [OK]
[18:32:55] [4] [categories] 27 -> 27 [OK]
[18:32:55] [4] [categories] 27_1768627860115 -> 27_1768627860115 [OK]
[18:32:55] [4] [categories] 27_1768627947069 -> 27_1768627947069 [OK]
[18:32:55] [4] [categories] 27_1768666667210 -> 27_1768666667210 [OK]
[18:32:55] [4] [categories] 28 -> 28 [OK]
[18:32:55] [4] [categories] 28_1768627860122 -> 28_1768627860122 [OK]
[18:32:55] [4] [categories] 28_1768627947072 -> 28_1768627947072 [OK]
[18:32:55] [4] [categories] 28_1768666667213 -> 28_1768666667213 [OK]
[18:32:55] [4] [categories] 29 -> 29 [OK]
[18:32:55] [4] [categories] 29_1768627860126 -> 29_1768627860126 [OK]
[18:32:55] [4] [categories] 29_1768627947078 -> 29_1768627947078 [OK]
[18:32:55] [4] [categories] 29_1768666667217 -> 29_1768666667217 [OK]
[18:32:55] [4] [categories] 2_1768627860025 -> 2_1768627860025 [OK]
[18:32:55] [4] [categories] 2_1768627947021 -> 2_1768627947021 [OK]
[18:32:55] [4] [categories] 2_1768666667186 -> 2_1768666667186 [OK]
[18:32:55] [4] [categories] 3 -> 3 [OK]
[18:32:55] [4] [categories] 30 -> 30 [OK]
[18:32:55] [4] [categories] 30_1768627860134 -> 30_1768627860134 [OK]
[18:32:55] [4] [categories] 30_1768627947084 -> 30_1768627947084 [OK]
[18:32:55] [4] [categories] 30_1768666667223 -> 30_1768666667223 [OK]
[18:32:55] [4] [categories] 31 -> 31 [OK]
[18:32:55] [4] [categories] 31_1768627860207 -> 31_1768627860207 [OK]
[18:32:55] [4] [categories] 31_1768627947101 -> 31_1768627947101 [OK]
[18:32:55] [4] [categories] 31_1768666667226 -> 31_1768666667226 [OK]
