=== Tenant Migration Log Started: 2026-01-22T01:20:45.080701900 ===
[01:20:45] [1] [brands] 57 -> 57 [OK]
[01:20:45] [1] [products] extras -> extras [OK]
[01:20:45] [10] [brands] Samsung.png -> Samsung.png [OK]
[01:20:45] [10] [products] extras -> extras [OK]
[01:20:45] [10] [users] Frederick Santos.png -> Frederick Santos.png [OK]
[01:20:45] [100] [products] extras -> extras [OK]
[01:20:45] [101] [products] extras -> extras [OK]
[01:20:45] [102] [products] extras -> extras [OK]
[01:20:45] [103] [products] extras -> extras [OK]
[01:20:45] [104] [products] extras -> extras [OK]
[01:20:45] [105] [products] extras -> extras [OK]
[01:20:45] [106] [products] extras -> extras [OK]
[01:20:45] [107] [products] batch-files-automate-670x335.jpg -> batch-files-automate-670x335.jpg [OK]
[01:20:45] [11] [brands] Olympus.png -> Olympus.png [OK]
[01:20:45] [11] [profile] node-debug-icon.png -> node-debug-icon.png [OK]
[01:20:45] [11] [users] 33 -> 33 [OK]
[01:20:45] [11] [users] Anna Maria.jpg -> Anna Maria.jpg [OK]
[01:20:45] [117] [customers] Tulips.jpg -> Tulips.jpg [OK]
[01:20:45] [12] [brands] Caden.png -> Caden.png [OK]
[01:20:45] [12] [products] extras -> extras [OK]
[01:20:45] [12] [users] 9229155e95b85d9466a466621062a9fe.png -> 9229155e95b85d9466a466621062a9fe.png [OK]
[01:20:45] [12] [users] Satya Narayana.png -> Satya Narayana.png [OK]
[01:20:45] [124] [products] 0afbcdc2d1724cbb3322f4f57b62fb67.png -> 0afbcdc2d1724cbb3322f4f57b62fb67.png [OK]
[01:20:45] [13] [brands] amazonbasics.png -> amazonbasics.png [OK]
[01:20:45] [13] [users] Matthew.png -> Matthew.png [OK]
[01:20:45] [139] [customers] Penguins.jpg -> Penguins.jpg [OK]
[01:20:45] [14] [brands] Nikon.png -> Nikon.png [OK]
[01:20:45] [14] [products] extras -> extras [OK]
[01:20:45] [14] [users] Dave Kumar.png -> Dave Kumar.png [OK]
[01:20:45] [144] [customers] Penguins.jpg -> Penguins.jpg [OK]
[01:20:45] [144] [customers] Tulips.jpg -> Tulips.jpg [OK]
[01:20:45] [15] [brands] Neewer.png -> Neewer.png [OK]
[01:20:45] [15] [products] extras -> extras [OK]
[01:20:45] [15] [users] Jack Bruce.png -> Jack Bruce.png [OK]
[01:20:45] [16] [brands] Sigma.png -> Sigma.png [OK]
[01:20:45] [16] [products] extras -> extras [OK]
[01:20:45] [16] [users] Mohamed Zirri.jpg -> Mohamed Zirri.jpg [OK]
[01:20:45] [163] [customers] orange.png -> orange.png [OK]
[01:20:45] [164] [customers] 45f5eba5_a6843230.png -> 45f5eba5_a6843230.png [OK]
[01:20:45] [164] [customers] df1d2e95_f0f6c304.png -> df1d2e95_f0f6c304.png [OK]
[01:20:45] [17] [brands] Bosch.png -> Bosch.png [OK]
[01:20:45] [17] [products] extras -> extras [OK]
[01:20:45] [17] [users] Mithun Kumar Majumdar.png -> Mithun Kumar Majumdar.png [OK]
[01:20:45] [18] [brands] Joby.png -> Joby.png [OK]
[01:20:45] [18] [products] extras -> extras [OK]
[01:20:45] [18] [users] Ali Raza.png -> Ali Raza.png [OK]
[01:20:45] [19] [brands] GoPro.png -> GoPro.png [OK]
[01:20:45] [19] [products] extras -> extras [OK]
[01:20:45] [19] [users] Isaac Henry.jpg -> Isaac Henry.jpg [OK]
[01:20:45] [2] [brands] Fujifilm.png -> Fujifilm.png [OK]
[01:20:45] [2] [products] extras -> extras [OK]
[01:20:45] [2] [users] Allada Pavan.png -> Allada Pavan.png [OK]
[01:20:45] [20] [brands] Manfrotto.png -> Manfrotto.png [OK]
[01:20:45] [20] [users] Svetlana Stasovska.png -> Svetlana Stasovska.png [OK]
[01:20:45] [21] [brands] Google.png -> Google.png [OK]
[01:20:45] [21] [products] extras -> extras [OK]
[01:20:45] [21] [users] Mike Gates.png -> Mike Gates.png [OK]
[01:20:45] [22] [brands] LG.png -> LG.png [OK]
[01:20:45] [22] [products] extras -> extras [OK]
[01:20:45] [22] [users] Pedro Quintero.png -> Pedro Quintero.png [OK]
[01:20:45] [23] [brands] Motorola.png -> Motorola.png [OK]
[01:20:45] [23] [products] extras -> extras [OK]
[01:20:45] [23] [users] Amina Elshal.png -> Amina Elshal.png [OK]
[01:20:45] [24] [brands] Pantech.png -> Pantech.png [OK]
[01:20:45] [24] [products] extras -> extras [OK]
[01:20:45] [25] [brands] Huawei.png -> Huawei.png [OK]
[01:20:45] [25] [products] extras -> extras [OK]
[01:20:45] [26] [brands] Xiaomi.png -> Xiaomi.png [OK]
[01:20:45] [27] [brands] Hovamp.png -> Hovamp.png [OK]
[01:20:45] [27] [products] extras -> extras [OK]
[01:20:45] [27] [users] 0afbcdc2d1724cbb3322f4f57b62fb67.png -> 0afbcdc2d1724cbb3322f4f57b62fb67.png [OK]
[01:20:45] [28] [brands] Aioneus.png -> Aioneus.png [OK]
[01:20:45] [28] [products] extras -> extras [OK]
[01:20:45] [29] [brands] XIAE.png -> XIAE.png [OK]
[01:20:45] [29] [customers] AREmoji_20230816_122317_1544.png -> AREmoji_20230816_122317_1544.png [OK]
[01:20:45] [29] [products] extras -> extras [OK]
[01:20:45] [3] [brands] Sony.png -> Sony.png [OK]
[01:20:45] [3] [categories] 34 -> 34 [OK]
[01:20:45] [3] [categories] 35 -> 35 [OK]
[01:20:45] [3] [products] extras -> extras [OK]
[01:20:45] [30] [brands] Everyworth.png -> Everyworth.png [OK]
[01:20:45] [30] [products] extras -> extras [OK]
[01:20:45] [31] [brands] Lexar.png -> Lexar.png [OK]
[01:20:45] [31] [products] extras -> extras [OK]
[01:20:45] [32] [brands] Nulaxy.png -> Nulaxy.png [OK]
[01:20:45] [32] [categories] 0afbcdc2d1724cbb3322f4f57b62fb67.png -> 0afbcdc2d1724cbb3322f4f57b62fb67.png [OK]
[01:20:45] [32] [customers] AREmoji_20230816_122312_122.png -> AREmoji_20230816_122312_122.png [OK]
[01:20:45] [32] [customers] Tulips.jpg -> Tulips.jpg [OK]
[01:20:46] [32] [products] extras -> extras [OK]
[01:20:46] [33] [brands] Fitfort.png -> Fitfort.png [OK]
[01:20:46] [33] [products] extras -> extras [OK]
[01:20:46] [34] [brands] PopSocket.png -> PopSocket.png [OK]
[01:20:46] [34] [products] extras -> extras [OK]
[01:20:46] [35] [brands] SHAWE.png -> SHAWE.png [OK]
[01:20:46] [35] [products] extras -> extras [OK]
[01:20:46] [36] [brands] Lenovo.png -> Lenovo.png [OK]
[01:20:46] [36] [customers] a18c9920c249d9bb6d3a1efb120bd8cc.png -> a18c9920c249d9bb6d3a1efb120bd8cc.png [OK]
[01:20:46] [36] [products] extras -> extras [OK]
[01:20:46] [37] [brands] Acer.png -> Acer.png [OK]
[01:20:46] [37] [products] extras -> extras [OK]
[01:20:46] [38] [brands] Dell.png -> Dell.png [OK]
[01:20:46] [39] [brands] Intel.png -> Intel.png [OK]
[01:20:46] [39] [products] extras -> extras [OK]
[01:20:46] [4] [brands] 1 -> 1 [OK]
[01:20:46] [4] [brands] 10 -> 10 [OK]
[01:20:46] [4] [brands] 11 -> 11 [OK]
[01:20:46] [4] [brands] 12 -> 12 [OK]
[01:20:46] [4] [brands] 13 -> 13 [OK]
[01:20:46] [4] [brands] 14 -> 14 [OK]
[01:20:46] [4] [brands] 15 -> 15 [OK]
[01:20:46] [4] [brands] 16 -> 16 [OK]
[01:20:46] [4] [brands] 17 -> 17 [OK]
[01:20:46] [4] [brands] 18 -> 18 [OK]
[01:20:46] [4] [brands] 19 -> 19 [OK]
[01:20:46] [4] [brands] 2 -> 2 [OK]
[01:20:46] [4] [brands] 20 -> 20 [OK]
[01:20:46] [4] [brands] 21 -> 21 [OK]
[01:20:46] [4] [brands] 22 -> 22 [OK]
[01:20:46] [4] [brands] 23 -> 23 [OK]
[01:20:46] [4] [brands] 24 -> 24 [OK]
[01:20:46] [4] [brands] 25 -> 25 [OK]
[01:20:46] [4] [brands] 26 -> 26 [OK]
[01:20:46] [4] [brands] 27 -> 27 [OK]
[01:20:46] [4] [brands] 28 -> 28 [OK]
[01:20:46] [4] [brands] 29 -> 29 [OK]
[01:20:46] [4] [brands] 3 -> 3 [OK]
[01:20:46] [4] [brands] 30 -> 30 [OK]
[01:20:46] [4] [brands] 31 -> 31 [OK]
[01:20:46] [4] [brands] 32 -> 32 [OK]
[01:20:46] [4] [brands] 33 -> 33 [OK]
[01:20:46] [4] [brands] 34 -> 34 [OK]
[01:20:46] [4] [brands] 35 -> 35 [OK]
[01:20:46] [4] [brands] 36 -> 36 [OK]
[01:20:46] [4] [brands] 37 -> 37 [OK]
[01:20:46] [4] [brands] 38 -> 38 [OK]
[01:20:46] [4] [brands] 39 -> 39 [OK]
[01:20:46] [4] [brands] 4 -> 4 [OK]
[01:20:46] [4] [brands] 40 -> 40 [OK]
[01:20:46] [4] [brands] 41 -> 41 [OK]
[01:20:46] [4] [brands] 42 -> 42 [OK]
[01:20:46] [4] [brands] 43 -> 43 [OK]
[01:20:46] [4] [brands] 44 -> 44 [OK]
[01:20:46] [4] [brands] 45 -> 45 [OK]
[01:20:46] [4] [brands] 46 -> 46 [OK]
[01:20:46] [4] [brands] 47 -> 47 [OK]
[01:20:46] [4] [brands] 48 -> 48 [OK]
[01:20:46] [4] [brands] 49 -> 49 [OK]
[01:20:46] [4] [brands] 5 -> 5 [OK]
[01:20:46] [4] [brands] 50 -> 50 [OK]
[01:20:46] [4] [brands] 51 -> 51 [OK]
[01:20:46] [4] [brands] 52 -> 52 [OK]
[01:20:46] [4] [brands] 53 -> 53 [OK]
[01:20:46] [4] [brands] 54 -> 54 [OK]
[01:20:46] [4] [brands] 6 -> 6 [OK]
[01:20:46] [4] [brands] 7 -> 7 [OK]
[01:20:46] [4] [brands] 7_1768700318089 -> 7_1768700318089 [OK]
[01:20:46] [4] [brands] 8 -> 8 [OK]
[01:20:46] [4] [brands] 9 -> 9 [OK]
[01:20:46] [4] [brands] 98 -> 98 [OK]
